ano,region,total
2011,andina,2674054
2012,andina,2564134
2013,andina,2566447
2014,andina,2447648
2015,andina,2498196
2016,andina,2578458
2017,andina,2863719
2018,andina,2575565
2019,andina,2455610
2011,caribe,281597
2012,caribe,320861
2013,caribe,369981
2014,caribe,364047
2015,caribe,486568
2016,caribe,558999
2017,caribe,446723
2018,caribe,415528
2019,caribe,408071
2011,orinoquia,287290
2012,orinoquia,365916
2013,orinoquia,536991
2014,orinoquia,386577
2015,orinoquia,401714
2016,orinoquia,1399373
2017,orinoquia,1204263
2018,orinoquia,997752
2019,orinoquia,994124
2016,amazonia,361197
2017,amazonia,993649
2018,amazonia,697924
2019,amazonia,805418